cha_labels,F:\UCLH_GLAS\icEEG\95\W887_1\Patient11t1_02232011121031\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_1\Patient11t1_02232011121031\Pruned_2.edf,F:\UCLH_GLAS\icEEG\95\W887_1\Patient11t1_02232011121031\Pruned_3.edf,F:\UCLH_GLAS\icEEG\95\W887_10\Patient11t7_03162011155717\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_10\Patient11t9_03162011165012\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_10\Patient11t9_03162011165012\Pruned_2.edf,F:\UCLH_GLAS\icEEG\95\W887_10\Patient11t9_03162011165012\Pruned_3.edf,F:\UCLH_GLAS\icEEG\95\W887_11\Patient11t11_02112011004735\Patient11t11_1.edf,F:\UCLH_GLAS\icEEG\95\W887_12\Patient11t12_03172011083142\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_13\Patient7t9_03182011112509\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_14\Patient7t1_03192011085123\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_15\Patient7t8_02142011031734\Patient7t8_1.edf,F:\UCLH_GLAS\icEEG\95\W887_16\Patient7t2_03192011091819\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_17\Patient7t9_03192011093145\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_18\Patient7t6_03192011094848\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_19\Patient7t7_03192011094710\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_2\Patient11t4_02242011110152\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_2\Patient11t6_02242011111456\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_20\Patient7t5_03192011111502\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_20\Pruned_03192011110753\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_20\Pruned_03192011110753\Pruned_2.edf,F:\UCLH_GLAS\icEEG\95\W887_20\Pruned_03192011110753\Pruned_3.edf,F:\UCLH_GLAS\icEEG\95\W887_21\Patient7t4_03192011122631\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_22\Pruned_03192011122140\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_22\Pruned_03192011122140\Pruned_2.edf,F:\UCLH_GLAS\icEEG\95\W887_22\Pruned_03192011122140\Pruned_3.edf,F:\UCLH_GLAS\icEEG\95\W887_22\Pruned_03192011122140\Pruned_4.edf,F:\UCLH_GLAS\icEEG\95\W887_22\Pruned_03192011122140\Pruned_5.edf,F:\UCLH_GLAS\icEEG\95\W887_22\Pruned_03192011122140\Pruned_7.edf,F:\UCLH_GLAS\icEEG\95\W887_23\Pruned_03192011124936\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_24\Pruned_03192011130706\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_25\Patient7t3_03192011135433\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_3\Patient11t5_02242011130839\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_3\Patient11t9_02242011124804\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_3\Patient11t9_02242011124804\Pruned_2.edf,F:\UCLH_GLAS\icEEG\95\W887_3\Patient11t9_02242011124804\Pruned_3.edf,F:\UCLH_GLAS\icEEG\95\W887_4\Patient11t10_02242011151951\Pruned_1.edf,F:\UCLH_GLAS\icEEG\95\W887_4\Patient11t8_02102011064655\Patient11t8_1.edf,F:\UCLH_GLAS\icEEG\95\W887_5\Patient7t11_02142011211806\Patient7t11_1.edf,F:\UCLH_GLAS\icEEG\95\W887_6\Patient7t12_02152011031821\Patient7t12_1.edf,F:\UCLH_GLAS\icEEG\95\W887_7\Patient7t13_02152011091830\Patient7t13_1.edf,F:\UCLH_GLAS\icEEG\95\W887_8\Patient7t10_02142011151755\Patient7t10_1.edf,F:\UCLH_GLAS\icEEG\95\W887_9\Patient11t10_03162011152423\Pruned_1.edf
G 44,G 44,,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,,G 44,G 44,G 44,,G 44,,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44
G 45,G 45,,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,,G 45,G 45,G 45,,G 45,,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45
G 46,G 46,,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,,G 46,G 46,G 46,,G 46,,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46
G 47,G 47,,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,,G 47,G 47,G 47,,G 47,,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47
G 48,G 48,,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,,G 48,G 48,G 48,,G 48,,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48
D1 01,D1 01,,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,,D1 01,D1 01,D1 01,,D1 01,,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01
D1 02,D1 02,,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,,D1 02,D1 02,D1 02,,D1 02,,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02
D1 03,D1 03,,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,,D1 03,D1 03,D1 03,,D1 03,,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03
D1 04,D1 04,,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,,D1 04,D1 04,D1 04,,D1 04,,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04
D1 05,D1 05,,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,,D1 05,D1 05,D1 05,,D1 05,,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05,D1 05
D1 06,D1 06,,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,,D1 06,D1 06,D1 06,,D1 06,,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06,D1 06
D2 01,D2 01,,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,,D2 01,D2 01,D2 01,,D2 01,,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01
D2 02,D2 02,,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,,D2 02,D2 02,D2 02,,D2 02,,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02
D2 03,D2 03,,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,,D2 03,D2 03,D2 03,,D2 03,,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03
D2 04,D2 04,,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,,D2 04,D2 04,D2 04,,D2 04,,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04
D2 05,D2 05,,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,,D2 05,D2 05,D2 05,,D2 05,,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05
D2 06,D2 06,,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,,D2 06,D2 06,D2 06,,D2 06,,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06
ECG,ECG,,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,,ECG,ECG,ECG,,ECG,,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG
1,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,
Photic,,,,,,Photic,Photic,Photic,Photic,Photic,Photic,Photic,Photic,Photic,Photic,Photic,,,Photic,Photic,,Photic,Photic,Photic,,Photic,,Photic,Photic,Photic,Photic,Photic,,,Photic,Photic,Photic,,Photic,Photic,Photic,Photic,Photic
